1,1,1,1
2,1,1,2
3,1,1,3
4,1,1,4
5,1,2,1
6,1,2,2
7,1,2,3
8,1,2,4
9,1,3,1
10,1,3,2
11,1,3,3
12,1,3,4
13,1,4,1
14,1,4,2
15,1,4,3
16,1,4,4
17,2,1,1
18,2,1,2
19,2,1,3
20,2,1,4
21,2,2,1
22,2,2,2
23,2,2,3
24,2,2,4
25,2,3,1
26,2,3,2
27,2,3,3
28,2,3,4
29,2,4,1
30,2,4,2
31,2,4,3
32,2,4,4
33,3,1,1
34,3,1,2
35,3,1,3
36,3,1,4
37,3,2,1
38,3,2,2
39,3,2,3
40,3,2,4
41,3,3,1
42,3,3,2
43,3,3,3
44,3,3,4
45,3,4,1
46,3,4,2
47,3,4,3
48,3,4,4
49,4,1,1
50,4,1,2
51,4,1,3
52,4,1,4
53,4,2,1
54,4,2,2
55,4,2,3
56,4,2,4
57,4,3,1
58,4,3,2
59,4,3,3
60,4,3,4
61,4,4,1
62,4,4,2
63,4,4,3
64,4,4,4
65,5,1,1
66,5,1,2
67,5,1,3
68,5,1,4
69,5,2,1
70,5,2,2
71,5,2,3
72,5,2,4
73,5,3,1
74,5,3,2
75,5,3,3
76,5,3,4
77,5,4,1
78,5,4,2
79,5,4,3
80,5,4,4
81,6,1,1
82,6,1,2
83,6,1,3
84,6,1,4
85,6,2,1
86,6,2,2
87,6,2,3
88,6,2,4
89,6,3,1
90,6,3,2
91,6,3,3
92,6,3,4
93,6,4,1
94,6,4,2
95,6,4,3
96,6,4,4
97,7,1,1
98,7,1,2
99,7,1,3
100,7,1,4
101,7,2,1
102,7,2,2
103,7,2,3
104,7,2,4
105,7,3,1
106,7,3,2
107,7,3,3
108,7,3,4
109,7,4,1
110,7,4,2
111,7,4,3
112,7,4,4
113,8,1,1
114,8,1,2
115,8,1,3
116,8,1,4
117,8,2,1
118,8,2,2
119,8,2,3
120,8,2,4
121,8,3,1
122,8,3,2
123,8,3,3
124,8,3,4
125,8,4,1
126,8,4,2
127,8,4,3
128,8,4,4
129,9,1,1
130,9,1,2
131,9,1,3
132,9,1,4
133,9,2,1
134,9,2,2
135,9,2,3
136,9,2,4
137,9,3,1
138,9,3,2
139,9,3,3
140,9,3,4
141,9,4,1
142,9,4,2
143,9,4,3
144,9,4,4
145,10,1,1
146,10,1,2
147,10,1,3
148,10,1,4
149,10,2,1
150,10,2,2
151,10,2,3
152,10,2,4
153,10,3,1
154,10,3,2
155,10,3,3
156,10,3,4
157,10,4,1
158,10,4,2
159,10,4,3
160,10,4,4
161,11,1,1
162,11,1,2
163,11,1,3
164,11,1,4
165,11,2,1
166,11,2,2
167,11,2,3
168,11,2,4
169,11,3,1
170,11,3,2
171,11,3,3
172,11,3,4
173,11,4,1
174,11,4,2
175,11,4,3
176,11,4,4
177,12,1,1
178,12,1,2
179,12,1,3
180,12,1,4
181,12,2,1
182,12,2,2
183,12,2,3
184,12,2,4
185,12,3,1
186,12,3,2
187,12,3,3
188,12,3,4
189,12,4,1
190,12,4,2
191,12,4,3
192,12,4,4
193,13,1,1
194,13,1,2
195,13,1,3
196,13,1,4
197,13,2,1
198,13,2,2
199,13,2,3
200,13,2,4
201,13,3,1
202,13,3,2
203,13,3,3
204,13,3,4
205,13,4,1
206,13,4,2
207,13,4,3
208,13,4,4
